rs06, .474, .005
rs10, .511, .005
rs13, .516, .006
sk92, .403, .003
sk96, .431, .005
sk04, .448, .005
sk07, .416, .005
sk10, .429, .005
si97, .367, .006
si99, .373, .005
si04, .397, .006
si07, .396, .005
si10, .416, .006
si12, .448, .006
za08, .668, .005
za10, .6800000000000001, .006
za12, .662, .006
kr06, .338, .003
es80, .417, .003
es85, .434, .006
es90, .42, .003
es95, .506, .005
es00, .476, .006
es04, .452, .004
es07, .449, .004
es10, .511, .004
es13, .521, .004
se67, .426, .005
se75, .401, .005
se81, .413, .005
se87, .429, .005
se92, .462, .004
se95, .489, .003
se00, .468, .003
se05, .465, .003
ch82, .397, .005
ch92, .406, .006
ch00, .389, .006
ch02, .393, .006
ch04, .396, .007
tw81, .272, .002
tw86, .275, .002
tw91, .281, .002
tw95, .314, .002
tw97, .3, .002
tw00, .306, .002
tw05, .323, .002
tw07, .328, .002
tw10, .329, .002
tw13, .332, .002
uk69, .361, .004
uk74, .375, .004
uk79, .411, .004
uk86, .501, .004
uk91, .501, .005
uk94, .532, .002
uk95, .537, .005
uk99, .528, .003
uk04, .524, .003
uk07, .522, .003
uk10, .537, .003
uk13, .532, .003
us74, .413, .003
us79, .429, .002
us86, .459, .002
us91, .468, .002
us94, .486, .002
us97, .482, .002
us00, .475, .001
us04, .486, .002
us07, .483, .002
us10, .507, .001
us13, .508, .002
uy04, .526, .002
uy07, .518, .002
uy10, .495, .002
uy13, .465, .002

.  
. 
end of do-file


