ru00, .508, .006
ru04, .5, .006
ru07, .462, .005
ru10, .461, .004
ru13, .463, .004
rs06, .491, .006
rs10, .525, .005
rs13, .533, .006
sk92, .428, .003
sk96, .453, .004
sk04, .465, .005
sk07, .435, .005
sk10, .448, .005
si97, .38, .006
si99, .386, .005
si04, .413, .006
si07, .413, .005
si10, .432, .006
si12, .46, .006
za08, .707, .006
za10, .72, .007
za12, .704, .008
kr06, .351, .003
es80, .444, .003
es85, .46, .006
es90, .439, .003
es95, .524, .005
es00, .493, .006
es04, .475, .004
es07, .468, .004
es10, .528, .004
es13, .535, .004
se67, .46, .005
se75, .436, .004
se81, .441, .005
se87, .453, .005
se92, .486, .004
se95, .515, .003
se00, .494, .003
se05, .491, .003
ch82, .435, .005
ch92, .439, .005
ch00, .437, .006
ch02, .436, .006
ch04, .444, .006
tw81, .304, .002
tw86, .301, .002
tw91, .306, .002
tw95, .336, .002
tw97, .319, .002
tw00, .326, .002
tw05, .337, .002
tw07, .339, .002
tw10, .34, .002
tw13, .344, .003
uk69, .428, .004
uk74, .415, .004
uk79, .444, .004
uk86, .527, .004
uk91, .526, .005
uk94, .5570000000000001, .002
uk95, .5590000000000001, .005
uk99, .5520000000000001, .002
uk04, .55, .003
uk07, .542, .003
uk10, .5560000000000001, .003
uk13, .5520000000000001, .003
us74, .453, .003
us79, .462, .002
us86, .489, .002
us91, .499, .002
us94, .514, .002
us97, .512, .002
us00, .505, .002
us04, .515, .002
us07, .513, .002
us10, .536, .002
us13, .534, .002
uy04, .5520000000000001, .002
uy07, .545, .002
uy10, .523, .002
uy13, .49, .002

.   
. 
end of do-file


