country	year	gini	gini_se	area_covered	equiv_scale	welfare_def	source	survey	link
Colombia	1970	56		all	hh	"Income, Gross"	CEPAL Serie Distribucion del Ingreso 1 (1986)	McLure	http://hdl.handle.net/11362/8916 
Colombia	1971	51		all	hh	"Income, Gross"	CEPAL Serie Distribucion del Ingreso 1 (1986)	EH/PF	http://hdl.handle.net/11362/8916 
Colombia	1972	51		all	hh	"Income, Gross"	CEPAL Serie Distribucion del Ingreso 1 (1986)	EH/PF	http://hdl.handle.net/11362/8916 
Costa Rica	1961	50		all	hh	"Income, Disposable"	CEPAL Serie Distribucion del Ingreso 4 (1987)	CEPAL	http://hdl.handle.net/11362/8970 
Costa Rica	1971	46		all	hh	"Income, Gross"	CEPAL Serie Distribucion del Ingreso 4 (1987)	DICA	http://hdl.handle.net/11362/8970 
Costa Rica	1981	42		all	hh	"Monetary Income, Market"	CEPAL Serie Distribucion del Ingreso 12 (1993)	ENH	http://hdl.handle.net/11362/9443 
Costa Rica	1982	43		all	hh	"Monetary Income, Market"	CEPAL Serie Distribucion del Ingreso 12 (1993)	ENH	http://hdl.handle.net/11362/9443 
Costa Rica	1985	41		all	hh	"Monetary Income, Market"	CEPAL Serie Distribucion del Ingreso 12 (1993)	ENH	http://hdl.handle.net/11362/9443 
Costa Rica	1988	45		all	hh	"Monetary Income, Gross"	CEPAL Serie Distribucion del Ingreso 12 (1993)	EHPM	http://hdl.handle.net/11362/9443 
Costa Rica	1989	44		all	hh	"Monetary Income, Gross"	CEPAL Serie Distribucion del Ingreso 12 (1993)	EHPM	http://hdl.handle.net/11362/9443 
Costa Rica	1990	44		all	hh	"Monetary Income, Gross"	CEPAL Serie Distribucion del Ingreso 12 (1993)	EHPM	http://hdl.handle.net/11362/9443 
Guatemala	1987	53		all	hh	"Income, Gross"	CEPAL Serie Distribucion del Ingreso 13 (1993)	ENSD	http://hdl.handle.net/11362/9453 
Guatemala	1989	54		all	hh	"Income, Gross"	CEPAL Serie Distribucion del Ingreso 13 (1993)	ENSD	http://hdl.handle.net/11362/9453 
Honduras	1988	58		all	hh	"Monetary Income, Market"	CEPAL Serie Distribucion del Ingreso 14 (1993)	EPHPM	http://hdl.handle.net/11362/9454 
Honduras	1989	54		all	hh	"Monetary Income, Market"	CEPAL Serie Distribucion del Ingreso 14 (1993)	EPHPM	http://hdl.handle.net/11362/9454 
Honduras	1990	55		all	hh	"Monetary Income, Market"	CEPAL Serie Distribucion del Ingreso 14 (1993)	EPHPM	http://hdl.handle.net/11362/9454 
Mexico	1963	61		all	hh	"Income, Disposable"	CEPAL Serie Distribucion del Ingreso 7 (1988)	EIGF	http://hdl.handle.net/11362/9030 
Mexico	1968	59		all	hh	"Income, Disposable"	CEPAL Serie Distribucion del Ingreso 7 (1988)	EIGF	http://hdl.handle.net/11362/9030 
Mexico	1975	56		all	hh	"Income, Disposable"	CEPAL Serie Distribucion del Ingreso 7 (1988)	EDIGF	http://hdl.handle.net/11362/9030 
Mexico	1977	52		all	hh	"Income, Disposable"	CEPAL Serie Distribucion del Ingreso 7 (1988)	ENIG	http://hdl.handle.net/11362/9030 
Panama	1986	51		all	hh	"Income, Gross"	CEPAL Serie Distribucion del Ingreso 16 (1993)	EMO	http://hdl.handle.net/11362/9456 
Panama	1989	52		all	hh	"Income, Gross"	CEPAL Serie Distribucion del Ingreso 16 (1993)	EMO	http://hdl.handle.net/11362/9456 
Peru	1972	58		all	hh	"Income, Disposable"	CEPAL Serie Distribucion del Ingreso 8 (1989)	ENCA	http://hdl.handle.net/11362/9066 
Peru	1981	58		all	hh	"Income, Disposable"	CEPAL Serie Distribucion del Ingreso 8 (1989)	Censo	http://hdl.handle.net/11362/9066 
Uruguay	1981	43		all	hh	"Income, Disposable"	CEPAL Serie Distribucion del Ingreso 17 (1993)	ENH	http://hdl.handle.net/11362/9457 
Uruguay	1986	41		all	hh	"Income, Disposable"	CEPAL Serie Distribucion del Ingreso 17 (1993)	ENH	http://hdl.handle.net/11362/9457 
Uruguay	1989	42		all	hh	"Income, Disposable"	CEPAL Serie Distribucion del Ingreso 17 (1993)	ENH	http://hdl.handle.net/11362/9457 
Uruguay	1990	49		all	hh	"Income, Disposable"	CEPAL Serie Distribucion del Ingreso 17 (1993)	ENH	http://hdl.handle.net/11362/9457 
Venezuela	1962	45		all	hh	"Monetary Income, Market"	CEPAL Serie Distribucion del Ingreso 6 (1988)	ENIGF	http://hdl.handle.net/11362/9012 
Venezuela	1976	44		all	hh	"Monetary Income, Market"	CEPAL Serie Distribucion del Ingreso 6 (1988)	EHM Apr	http://hdl.handle.net/11362/9012 
Venezuela	1976	44		all	hh	"Monetary Income, Market"	CEPAL Serie Distribucion del Ingreso 6 (1988)	EHM Oct	http://hdl.handle.net/11362/9012 
Venezuela	1977	43		all	hh	"Monetary Income, Market"	CEPAL Serie Distribucion del Ingreso 6 (1988)	EHM Apr	http://hdl.handle.net/11362/9012 
Venezuela	1977	42		all	hh	"Monetary Income, Market"	CEPAL Serie Distribucion del Ingreso 6 (1988)	EHM Oct	http://hdl.handle.net/11362/9012 
Venezuela	1978	42		all	hh	"Monetary Income, Market"	CEPAL Serie Distribucion del Ingreso 6 (1988)	EHM Apr	http://hdl.handle.net/11362/9012 
Venezuela	1978	42		all	hh	"Monetary Income, Market"	CEPAL Serie Distribucion del Ingreso 6 (1988)	EHM Oct	http://hdl.handle.net/11362/9012 
Venezuela	1979	42		all	hh	"Monetary Income, Market"	CEPAL Serie Distribucion del Ingreso 6 (1988)	EHM Apr	http://hdl.handle.net/11362/9012 
Venezuela	1979	42		all	hh	"Monetary Income, Market"	CEPAL Serie Distribucion del Ingreso 6 (1988)	EHM Oct	http://hdl.handle.net/11362/9012 
Venezuela	1980	41		all	hh	"Monetary Income, Market"	CEPAL Serie Distribucion del Ingreso 6 (1988)	EHM Apr	http://hdl.handle.net/11362/9012 
Venezuela	1980	41		all	hh	"Monetary Income, Market"	CEPAL Serie Distribucion del Ingreso 6 (1988)	EHM Oct	http://hdl.handle.net/11362/9012 
Venezuela	1981	39		all	hh	"Monetary Income, Market"	CEPAL Serie Distribucion del Ingreso 17 (1993)	EHM Oct	http://hdl.handle.net/11362/9457 
Venezuela	1981	40		all	hh	"Monetary Income, Market"	CEPAL Serie Distribucion del Ingreso 6 (1988)	EHM Apr	http://hdl.handle.net/11362/9012 
Venezuela	1982	40		all	hh	"Monetary Income, Market"	CEPAL Serie Distribucion del Ingreso 6 (1988)	EHM Apr	http://hdl.handle.net/11362/9012 
Venezuela	1982	39		all	hh	"Monetary Income, Market"	CEPAL Serie Distribucion del Ingreso 6 (1988)	EHM Oct	http://hdl.handle.net/11362/9012 
Venezuela	1983	39		all	hh	"Monetary Income, Market"	CEPAL Serie Distribucion del Ingreso 6 (1988)	EHM Apr	http://hdl.handle.net/11362/9012 
Venezuela	1983	39		all	hh	"Monetary Income, Market"	CEPAL Serie Distribucion del Ingreso 6 (1988)	EHM Oct	http://hdl.handle.net/11362/9012 
Venezuela	1984	41		all	hh	"Monetary Income, Market"	CEPAL Serie Distribucion del Ingreso 6 (1988)	EHM Apr	http://hdl.handle.net/11362/9012 
Venezuela	1984	49		all	hh	"Monetary Income, Market"	CEPAL Serie Distribucion del Ingreso 6 (1988)	EHM Oct	http://hdl.handle.net/11362/9012 
Venezuela	1985	43		all	hh	"Monetary Income, Market"	CEPAL Serie Distribucion del Ingreso 6 (1988)	EHM Apr	http://hdl.handle.net/11362/9012 
Venezuela	1985	42		all	hh	"Monetary Income, Market"	CEPAL Serie Distribucion del Ingreso 6 (1988)	EHM Oct	http://hdl.handle.net/11362/9012 
Venezuela	1986	42		all	hh	"Monetary Income, Market"	CEPAL Serie Distribucion del Ingreso 17 (1993)	EHM Oct	http://hdl.handle.net/11362/9457 
Venezuela	1989	40		all	hh	"Monetary Income, Market"	CEPAL Serie Distribucion del Ingreso 17 (1993)	EHM Oct	http://hdl.handle.net/11362/9457 
Venezuela	1990	40		all	hh	"Monetary Income, Market"	CEPAL Serie Distribucion del Ingreso 17 (1993)	EHM Oct	http://hdl.handle.net/11362/9457 
