country,year,gini,se,break,equiv_scale,welfare_def,source1,source2,page,series,link,notes,date
Canada,1983,46.9,,,hh,market income,Statistics Canada,"Survey of Labour and Income Dynamics, Canada",,source2,http://www5.statcan.gc.ca/cansim/a26?id=2020705,,2015-09-05
Canada,1984,46.7,,,hh,market income,Statistics Canada,"Survey of Labour and Income Dynamics, Canada",,source2,http://www5.statcan.gc.ca/cansim/a26?id=2020705,,2015-09-05
Canada,1985,46.4,,,hh,market income,Statistics Canada,"Survey of Labour and Income Dynamics, Canada",,source2,http://www5.statcan.gc.ca/cansim/a26?id=2020705,,2015-09-05
Canada,1986,46.5,,,hh,market income,Statistics Canada,"Survey of Labour and Income Dynamics, Canada",,source2,http://www5.statcan.gc.ca/cansim/a26?id=2020705,,2015-09-05
Canada,1987,46.6,,,hh,market income,Statistics Canada,"Survey of Labour and Income Dynamics, Canada",,source2,http://www5.statcan.gc.ca/cansim/a26?id=2020705,,2015-09-05
Canada,1988,46.7,,,hh,market income,Statistics Canada,"Survey of Labour and Income Dynamics, Canada",,source2,http://www5.statcan.gc.ca/cansim/a26?id=2020705,,2015-09-05
Canada,1989,46,,,hh,market income,Statistics Canada,"Survey of Labour and Income Dynamics, Canada",,source2,http://www5.statcan.gc.ca/cansim/a26?id=2020705,,2015-09-05
Canada,1990,47.9,,,hh,market income,Statistics Canada,"Survey of Labour and Income Dynamics, Canada",,source2,http://www5.statcan.gc.ca/cansim/a26?id=2020705,,2015-09-05
Canada,1991,49.8,,,hh,market income,Statistics Canada,"Survey of Labour and Income Dynamics, Canada",,source2,http://www5.statcan.gc.ca/cansim/a26?id=2020705,,2015-09-05
Canada,1992,50.5,,,hh,market income,Statistics Canada,"Survey of Labour and Income Dynamics, Canada",,source2,http://www5.statcan.gc.ca/cansim/a26?id=2020705,,2015-09-05
Canada,1993,50.5,,,hh,market income,Statistics Canada,"Survey of Labour and Income Dynamics, Canada",,source2,http://www5.statcan.gc.ca/cansim/a26?id=2020705,,2015-09-05
Canada,1994,50.8,,,hh,market income,Statistics Canada,"Survey of Labour and Income Dynamics, Canada",,source2,http://www5.statcan.gc.ca/cansim/a26?id=2020705,,2015-09-05
Canada,1995,50.3,,,hh,market income,Statistics Canada,"Survey of Labour and Income Dynamics, Canada",,source2,http://www5.statcan.gc.ca/cansim/a26?id=2020705,,2015-09-05
Canada,1996,51.3,,,hh,market income,Statistics Canada,"Survey of Labour and Income Dynamics, Canada",,source2,http://www5.statcan.gc.ca/cansim/a26?id=2020705,,2015-09-05
Canada,1997,51.6,,,hh,market income,Statistics Canada,"Survey of Labour and Income Dynamics, Canada",,source2,http://www5.statcan.gc.ca/cansim/a26?id=2020705,,2015-09-05
Canada,1998,52.3,,,hh,market income,Statistics Canada,"Survey of Labour and Income Dynamics, Canada",,source2,http://www5.statcan.gc.ca/cansim/a26?id=2020705,,2015-09-05
Canada,1999,51.3,,,hh,market income,Statistics Canada,"Survey of Labour and Income Dynamics, Canada",,source2,http://www5.statcan.gc.ca/cansim/a26?id=2020705,,2015-09-05
Canada,2000,51.5,,,hh,market income,Statistics Canada,"Survey of Labour and Income Dynamics, Canada",,source2,http://www5.statcan.gc.ca/cansim/a26?id=2020705,,2015-09-05
Canada,2001,51.3,,,hh,market income,Statistics Canada,"Survey of Labour and Income Dynamics, Canada",,source2,http://www5.statcan.gc.ca/cansim/a26?id=2020705,,2015-09-05
Canada,2002,51.1,,,hh,market income,Statistics Canada,"Survey of Labour and Income Dynamics, Canada",,source2,http://www5.statcan.gc.ca/cansim/a26?id=2020705,,2015-09-05
Canada,2003,50.9,,,hh,market income,Statistics Canada,"Survey of Labour and Income Dynamics, Canada",,source2,http://www5.statcan.gc.ca/cansim/a26?id=2020705,,2015-09-05
Canada,2004,51.2,,,hh,market income,Statistics Canada,"Survey of Labour and Income Dynamics, Canada",,source2,http://www5.statcan.gc.ca/cansim/a26?id=2020705,,2015-09-05
Canada,2005,50.8,,,hh,market income,Statistics Canada,"Survey of Labour and Income Dynamics, Canada",,source2,http://www5.statcan.gc.ca/cansim/a26?id=2020705,,2015-09-05
Canada,2006,50.5,,,hh,market income,Statistics Canada,"Survey of Labour and Income Dynamics, Canada",,source2,http://www5.statcan.gc.ca/cansim/a26?id=2020705,,2015-09-05
Canada,2007,50.7,,,hh,market income,Statistics Canada,"Survey of Labour and Income Dynamics, Canada",,source2,http://www5.statcan.gc.ca/cansim/a26?id=2020705,,2015-09-05
Canada,2008,50.9,,,hh,market income,Statistics Canada,"Survey of Labour and Income Dynamics, Canada",,source2,http://www5.statcan.gc.ca/cansim/a26?id=2020705,,2015-09-05
Canada,2009,51.4,,,hh,market income,Statistics Canada,"Survey of Labour and Income Dynamics, Canada",,source2,http://www5.statcan.gc.ca/cansim/a26?id=2020705,,2015-09-05
Canada,2010,51.8,,,hh,market income,Statistics Canada,"Survey of Labour and Income Dynamics, Canada",,source2,http://www5.statcan.gc.ca/cansim/a26?id=2020705,,2015-09-05
Canada,2011,51.4,,,hh,market income,Statistics Canada,"Survey of Labour and Income Dynamics, Canada",,source2,http://www5.statcan.gc.ca/cansim/a26?id=2020705,,2015-09-05
Canada,1976,39.2,,,hh,gross income,Statistics Canada,"Survey of Labour and Income Dynamics, Canada",,source2,http://www5.statcan.gc.ca/cansim/a26?id=2020705,,2015-09-05
Canada,1977,37.9,,,hh,gross income,Statistics Canada,"Survey of Labour and Income Dynamics, Canada",,source2,http://www5.statcan.gc.ca/cansim/a26?id=2020705,,2015-09-05
Canada,1978,38.4,,,hh,gross income,Statistics Canada,"Survey of Labour and Income Dynamics, Canada",,source2,http://www5.statcan.gc.ca/cansim/a26?id=2020705,,2015-09-05
Canada,1979,38,,,hh,gross income,Statistics Canada,"Survey of Labour and Income Dynamics, Canada",,source2,http://www5.statcan.gc.ca/cansim/a26?id=2020705,,2015-09-05
Canada,1980,37.9,,,hh,gross income,Statistics Canada,"Survey of Labour and Income Dynamics, Canada",,source2,http://www5.statcan.gc.ca/cansim/a26?id=2020705,,2015-09-05
Canada,1981,37.4,,,hh,gross income,Statistics Canada,"Survey of Labour and Income Dynamics, Canada",,source2,http://www5.statcan.gc.ca/cansim/a26?id=2020705,,2015-09-05
Canada,1982,38,,,hh,gross income,Statistics Canada,"Survey of Labour and Income Dynamics, Canada",,source2,http://www5.statcan.gc.ca/cansim/a26?id=2020705,,2015-09-05
Canada,1983,39.1,,,hh,gross income,Statistics Canada,"Survey of Labour and Income Dynamics, Canada",,source2,http://www5.statcan.gc.ca/cansim/a26?id=2020705,,2015-09-05
Canada,1984,38.8,,,hh,gross income,Statistics Canada,"Survey of Labour and Income Dynamics, Canada",,source2,http://www5.statcan.gc.ca/cansim/a26?id=2020705,,2015-09-05
Canada,1985,38.7,,,hh,gross income,Statistics Canada,"Survey of Labour and Income Dynamics, Canada",,source2,http://www5.statcan.gc.ca/cansim/a26?id=2020705,,2015-09-05
Canada,1986,38.8,,,hh,gross income,Statistics Canada,"Survey of Labour and Income Dynamics, Canada",,source2,http://www5.statcan.gc.ca/cansim/a26?id=2020705,,2015-09-05
Canada,1987,38.8,,,hh,gross income,Statistics Canada,"Survey of Labour and Income Dynamics, Canada",,source2,http://www5.statcan.gc.ca/cansim/a26?id=2020705,,2015-09-05
Canada,1988,38.8,,,hh,gross income,Statistics Canada,"Survey of Labour and Income Dynamics, Canada",,source2,http://www5.statcan.gc.ca/cansim/a26?id=2020705,,2015-09-05
Canada,1989,38.5,,,hh,gross income,Statistics Canada,"Survey of Labour and Income Dynamics, Canada",,source2,http://www5.statcan.gc.ca/cansim/a26?id=2020705,,2015-09-05
Canada,1990,39.5,,,hh,gross income,Statistics Canada,"Survey of Labour and Income Dynamics, Canada",,source2,http://www5.statcan.gc.ca/cansim/a26?id=2020705,,2015-09-05
Canada,1991,40.3,,,hh,gross income,Statistics Canada,"Survey of Labour and Income Dynamics, Canada",,source2,http://www5.statcan.gc.ca/cansim/a26?id=2020705,,2015-09-05
Canada,1992,40.3,,,hh,gross income,Statistics Canada,"Survey of Labour and Income Dynamics, Canada",,source2,http://www5.statcan.gc.ca/cansim/a26?id=2020705,,2015-09-05
Canada,1993,39.8,,,hh,gross income,Statistics Canada,"Survey of Labour and Income Dynamics, Canada",,source2,http://www5.statcan.gc.ca/cansim/a26?id=2020705,,2015-09-05
Canada,1994,40.2,,,hh,gross income,Statistics Canada,"Survey of Labour and Income Dynamics, Canada",,source2,http://www5.statcan.gc.ca/cansim/a26?id=2020705,,2015-09-05
Canada,1995,40.3,,,hh,gross income,Statistics Canada,"Survey of Labour and Income Dynamics, Canada",,source2,http://www5.statcan.gc.ca/cansim/a26?id=2020705,,2015-09-05
Canada,1996,41.4,,,hh,gross income,Statistics Canada,"Survey of Labour and Income Dynamics, Canada",,source2,http://www5.statcan.gc.ca/cansim/a26?id=2020705,,2015-09-05
Canada,1997,41.8,,,hh,gross income,Statistics Canada,"Survey of Labour and Income Dynamics, Canada",,source2,http://www5.statcan.gc.ca/cansim/a26?id=2020705,,2015-09-05
Canada,1998,42.7,,,hh,gross income,Statistics Canada,"Survey of Labour and Income Dynamics, Canada",,source2,http://www5.statcan.gc.ca/cansim/a26?id=2020705,,2015-09-05
Canada,1999,42.6,,,hh,gross income,Statistics Canada,"Survey of Labour and Income Dynamics, Canada",,source2,http://www5.statcan.gc.ca/cansim/a26?id=2020705,,2015-09-05
Canada,2000,43.1,,,hh,gross income,Statistics Canada,"Survey of Labour and Income Dynamics, Canada",,source2,http://www5.statcan.gc.ca/cansim/a26?id=2020705,,2015-09-05
Canada,2001,42.9,,,hh,gross income,Statistics Canada,"Survey of Labour and Income Dynamics, Canada",,source2,http://www5.statcan.gc.ca/cansim/a26?id=2020705,,2015-09-05
Canada,2002,42.8,,,hh,gross income,Statistics Canada,"Survey of Labour and Income Dynamics, Canada",,source2,http://www5.statcan.gc.ca/cansim/a26?id=2020705,,2015-09-05
Canada,2003,42.6,,,hh,gross income,Statistics Canada,"Survey of Labour and Income Dynamics, Canada",,source2,http://www5.statcan.gc.ca/cansim/a26?id=2020705,,2015-09-05
Canada,2004,43.1,,,hh,gross income,Statistics Canada,"Survey of Labour and Income Dynamics, Canada",,source2,http://www5.statcan.gc.ca/cansim/a26?id=2020705,,2015-09-05
Canada,2005,42.9,,,hh,gross income,Statistics Canada,"Survey of Labour and Income Dynamics, Canada",,source2,http://www5.statcan.gc.ca/cansim/a26?id=2020705,,2015-09-05
Canada,2006,42.7,,,hh,gross income,Statistics Canada,"Survey of Labour and Income Dynamics, Canada",,source2,http://www5.statcan.gc.ca/cansim/a26?id=2020705,,2015-09-05
Canada,2007,42.9,,,hh,gross income,Statistics Canada,"Survey of Labour and Income Dynamics, Canada",,source2,http://www5.statcan.gc.ca/cansim/a26?id=2020705,,2015-09-05
Canada,2008,43.1,,,hh,gross income,Statistics Canada,"Survey of Labour and Income Dynamics, Canada",,source2,http://www5.statcan.gc.ca/cansim/a26?id=2020705,,2015-09-05
Canada,2009,43,,,hh,gross income,Statistics Canada,"Survey of Labour and Income Dynamics, Canada",,source2,http://www5.statcan.gc.ca/cansim/a26?id=2020705,,2015-09-05
Canada,2010,43.1,,,hh,gross income,Statistics Canada,"Survey of Labour and Income Dynamics, Canada",,source2,http://www5.statcan.gc.ca/cansim/a26?id=2020705,,2015-09-05
Canada,2011,43.1,,,hh,gross income,Statistics Canada,"Survey of Labour and Income Dynamics, Canada",,source2,http://www5.statcan.gc.ca/cansim/a26?id=2020705,,2015-09-05
Canada,1976,36.4,,,hh,net income,Statistics Canada,"Survey of Labour and Income Dynamics, Canada",,source2,http://www5.statcan.gc.ca/cansim/a26?id=2020705,,2015-09-05
Canada,1977,35.3,,,hh,net income,Statistics Canada,"Survey of Labour and Income Dynamics, Canada",,source2,http://www5.statcan.gc.ca/cansim/a26?id=2020705,,2015-09-05
Canada,1978,35.7,,,hh,net income,Statistics Canada,"Survey of Labour and Income Dynamics, Canada",,source2,http://www5.statcan.gc.ca/cansim/a26?id=2020705,,2015-09-05
Canada,1979,35.3,,,hh,net income,Statistics Canada,"Survey of Labour and Income Dynamics, Canada",,source2,http://www5.statcan.gc.ca/cansim/a26?id=2020705,,2015-09-05
Canada,1980,35.3,,,hh,net income,Statistics Canada,"Survey of Labour and Income Dynamics, Canada",,source2,http://www5.statcan.gc.ca/cansim/a26?id=2020705,,2015-09-05
Canada,1981,34.8,,,hh,net income,Statistics Canada,"Survey of Labour and Income Dynamics, Canada",,source2,http://www5.statcan.gc.ca/cansim/a26?id=2020705,,2015-09-05
Canada,1982,35.1,,,hh,net income,Statistics Canada,"Survey of Labour and Income Dynamics, Canada",,source2,http://www5.statcan.gc.ca/cansim/a26?id=2020705,,2015-09-05
Canada,1983,36.1,,,hh,net income,Statistics Canada,"Survey of Labour and Income Dynamics, Canada",,source2,http://www5.statcan.gc.ca/cansim/a26?id=2020705,,2015-09-05
Canada,1984,35.7,,,hh,net income,Statistics Canada,"Survey of Labour and Income Dynamics, Canada",,source2,http://www5.statcan.gc.ca/cansim/a26?id=2020705,,2015-09-05
Canada,1985,35.7,,,hh,net income,Statistics Canada,"Survey of Labour and Income Dynamics, Canada",,source2,http://www5.statcan.gc.ca/cansim/a26?id=2020705,,2015-09-05
Canada,1986,35.8,,,hh,net income,Statistics Canada,"Survey of Labour and Income Dynamics, Canada",,source2,http://www5.statcan.gc.ca/cansim/a26?id=2020705,,2015-09-05
Canada,1987,35.5,,,hh,net income,Statistics Canada,"Survey of Labour and Income Dynamics, Canada",,source2,http://www5.statcan.gc.ca/cansim/a26?id=2020705,,2015-09-05
Canada,1988,35.4,,,hh,net income,Statistics Canada,"Survey of Labour and Income Dynamics, Canada",,source2,http://www5.statcan.gc.ca/cansim/a26?id=2020705,,2015-09-05
Canada,1989,35.1,,,hh,net income,Statistics Canada,"Survey of Labour and Income Dynamics, Canada",,source2,http://www5.statcan.gc.ca/cansim/a26?id=2020705,,2015-09-05
Canada,1990,35.7,,,hh,net income,Statistics Canada,"Survey of Labour and Income Dynamics, Canada",,source2,http://www5.statcan.gc.ca/cansim/a26?id=2020705,,2015-09-05
Canada,1991,36.4,,,hh,net income,Statistics Canada,"Survey of Labour and Income Dynamics, Canada",,source2,http://www5.statcan.gc.ca/cansim/a26?id=2020705,,2015-09-05
Canada,1992,36.4,,,hh,net income,Statistics Canada,"Survey of Labour and Income Dynamics, Canada",,source2,http://www5.statcan.gc.ca/cansim/a26?id=2020705,,2015-09-05
Canada,1993,36.1,,,hh,net income,Statistics Canada,"Survey of Labour and Income Dynamics, Canada",,source2,http://www5.statcan.gc.ca/cansim/a26?id=2020705,,2015-09-05
Canada,1994,36.2,,,hh,net income,Statistics Canada,"Survey of Labour and Income Dynamics, Canada",,source2,http://www5.statcan.gc.ca/cansim/a26?id=2020705,,2015-09-05
Canada,1995,36.3,,,hh,net income,Statistics Canada,"Survey of Labour and Income Dynamics, Canada",,source2,http://www5.statcan.gc.ca/cansim/a26?id=2020705,,2015-09-05
Canada,1996,37.2,,,hh,net income,Statistics Canada,"Survey of Labour and Income Dynamics, Canada",,source2,http://www5.statcan.gc.ca/cansim/a26?id=2020705,,2015-09-05
Canada,1997,37.7,,,hh,net income,Statistics Canada,"Survey of Labour and Income Dynamics, Canada",,source2,http://www5.statcan.gc.ca/cansim/a26?id=2020705,,2015-09-05
Canada,1998,38.6,,,hh,net income,Statistics Canada,"Survey of Labour and Income Dynamics, Canada",,source2,http://www5.statcan.gc.ca/cansim/a26?id=2020705,,2015-09-05
Canada,1999,38.6,,,hh,net income,Statistics Canada,"Survey of Labour and Income Dynamics, Canada",,source2,http://www5.statcan.gc.ca/cansim/a26?id=2020705,,2015-09-05
Canada,2000,39.2,,,hh,net income,Statistics Canada,"Survey of Labour and Income Dynamics, Canada",,source2,http://www5.statcan.gc.ca/cansim/a26?id=2020705,,2015-09-05
Canada,2001,39.2,,,hh,net income,Statistics Canada,"Survey of Labour and Income Dynamics, Canada",,source2,http://www5.statcan.gc.ca/cansim/a26?id=2020705,,2015-09-05
Canada,2002,39.1,,,hh,net income,Statistics Canada,"Survey of Labour and Income Dynamics, Canada",,source2,http://www5.statcan.gc.ca/cansim/a26?id=2020705,,2015-09-05
Canada,2003,38.9,,,hh,net income,Statistics Canada,"Survey of Labour and Income Dynamics, Canada",,source2,http://www5.statcan.gc.ca/cansim/a26?id=2020705,,2015-09-05
Canada,2004,39.4,,,hh,net income,Statistics Canada,"Survey of Labour and Income Dynamics, Canada",,source2,http://www5.statcan.gc.ca/cansim/a26?id=2020705,,2015-09-05
Canada,2005,39.3,,,hh,net income,Statistics Canada,"Survey of Labour and Income Dynamics, Canada",,source2,http://www5.statcan.gc.ca/cansim/a26?id=2020705,,2015-09-05
Canada,2006,39.2,,,hh,net income,Statistics Canada,"Survey of Labour and Income Dynamics, Canada",,source2,http://www5.statcan.gc.ca/cansim/a26?id=2020705,,2015-09-05
Canada,2007,39.3,,,hh,net income,Statistics Canada,"Survey of Labour and Income Dynamics, Canada",,source2,http://www5.statcan.gc.ca/cansim/a26?id=2020705,,2015-09-05
Canada,2008,39.4,,,hh,net income,Statistics Canada,"Survey of Labour and Income Dynamics, Canada",,source2,http://www5.statcan.gc.ca/cansim/a26?id=2020705,,2015-09-05
Canada,2009,39.4,,,hh,net income,Statistics Canada,"Survey of Labour and Income Dynamics, Canada",,source2,http://www5.statcan.gc.ca/cansim/a26?id=2020705,,2015-09-05
Canada,2010,39.5,,,hh,net income,Statistics Canada,"Survey of Labour and Income Dynamics, Canada",,source2,http://www5.statcan.gc.ca/cansim/a26?id=2020705,,2015-09-05
Canada,2011,39.5,,,hh,net income,Statistics Canada,"Survey of Labour and Income Dynamics, Canada",,source2,http://www5.statcan.gc.ca/cansim/a26?id=2020705,,2015-09-05
Canada,1976,38.4,,,"hh, sqrt",market income,Statistics Canada,"Survey of Labour and Income Dynamics, Canada",,source2,http://www5.statcan.gc.ca/cansim/a26?id=2020709,,2015-09-05
Canada,1977,36.8,,,"hh, sqrt",market income,Statistics Canada,"Survey of Labour and Income Dynamics, Canada",,source2,http://www5.statcan.gc.ca/cansim/a26?id=2020709,,2015-09-05
Canada,1978,37.5,,,"hh, sqrt",market income,Statistics Canada,"Survey of Labour and Income Dynamics, Canada",,source2,http://www5.statcan.gc.ca/cansim/a26?id=2020709,,2015-09-05
Canada,1979,36.5,,,"hh, sqrt",market income,Statistics Canada,"Survey of Labour and Income Dynamics, Canada",,source2,http://www5.statcan.gc.ca/cansim/a26?id=2020709,,2015-09-05
Canada,1980,37,,,"hh, sqrt",market income,Statistics Canada,"Survey of Labour and Income Dynamics, Canada",,source2,http://www5.statcan.gc.ca/cansim/a26?id=2020709,,2015-09-05
Canada,1981,36.9,,,"hh, sqrt",market income,Statistics Canada,"Survey of Labour and Income Dynamics, Canada",,source2,http://www5.statcan.gc.ca/cansim/a26?id=2020709,,2015-09-05
Canada,1982,38.8,,,"hh, sqrt",market income,Statistics Canada,"Survey of Labour and Income Dynamics, Canada",,source2,http://www5.statcan.gc.ca/cansim/a26?id=2020709,,2015-09-05
Canada,1983,40.3,,,"hh, sqrt",market income,Statistics Canada,"Survey of Labour and Income Dynamics, Canada",,source2,http://www5.statcan.gc.ca/cansim/a26?id=2020709,,2015-09-05
Canada,1984,40.1,,,"hh, sqrt",market income,Statistics Canada,"Survey of Labour and Income Dynamics, Canada",,source2,http://www5.statcan.gc.ca/cansim/a26?id=2020709,,2015-09-05
Canada,1985,39.5,,,"hh, sqrt",market income,Statistics Canada,"Survey of Labour and Income Dynamics, Canada",,source2,http://www5.statcan.gc.ca/cansim/a26?id=2020709,,2015-09-05
Canada,1986,39.5,,,"hh, sqrt",market income,Statistics Canada,"Survey of Labour and Income Dynamics, Canada",,source2,http://www5.statcan.gc.ca/cansim/a26?id=2020709,,2015-09-05
Canada,1987,39.2,,,"hh, sqrt",market income,Statistics Canada,"Survey of Labour and Income Dynamics, Canada",,source2,http://www5.statcan.gc.ca/cansim/a26?id=2020709,,2015-09-05
Canada,1988,39.1,,,"hh, sqrt",market income,Statistics Canada,"Survey of Labour and Income Dynamics, Canada",,source2,http://www5.statcan.gc.ca/cansim/a26?id=2020709,,2015-09-05
Canada,1989,38.8,,,"hh, sqrt",market income,Statistics Canada,"Survey of Labour and Income Dynamics, Canada",,source2,http://www5.statcan.gc.ca/cansim/a26?id=2020709,,2015-09-05
Canada,1990,40.3,,,"hh, sqrt",market income,Statistics Canada,"Survey of Labour and Income Dynamics, Canada",,source2,http://www5.statcan.gc.ca/cansim/a26?id=2020709,,2015-09-05
Canada,1991,42.2,,,"hh, sqrt",market income,Statistics Canada,"Survey of Labour and Income Dynamics, Canada",,source2,http://www5.statcan.gc.ca/cansim/a26?id=2020709,,2015-09-05
Canada,1992,42.9,,,"hh, sqrt",market income,Statistics Canada,"Survey of Labour and Income Dynamics, Canada",,source2,http://www5.statcan.gc.ca/cansim/a26?id=2020709,,2015-09-05
Canada,1993,42.9,,,"hh, sqrt",market income,Statistics Canada,"Survey of Labour and Income Dynamics, Canada",,source2,http://www5.statcan.gc.ca/cansim/a26?id=2020709,,2015-09-05
Canada,1994,43.2,,,"hh, sqrt",market income,Statistics Canada,"Survey of Labour and Income Dynamics, Canada",,source2,http://www5.statcan.gc.ca/cansim/a26?id=2020709,,2015-09-05
Canada,1995,43,,,"hh, sqrt",market income,Statistics Canada,"Survey of Labour and Income Dynamics, Canada",,source2,http://www5.statcan.gc.ca/cansim/a26?id=2020709,,2015-09-05
Canada,1996,43.9,,,"hh, sqrt",market income,Statistics Canada,"Survey of Labour and Income Dynamics, Canada",,source2,http://www5.statcan.gc.ca/cansim/a26?id=2020709,,2015-09-05
Canada,1997,43.8,,,"hh, sqrt",market income,Statistics Canada,"Survey of Labour and Income Dynamics, Canada",,source2,http://www5.statcan.gc.ca/cansim/a26?id=2020709,,2015-09-05
Canada,1998,44.6,,,"hh, sqrt",market income,Statistics Canada,"Survey of Labour and Income Dynamics, Canada",,source2,http://www5.statcan.gc.ca/cansim/a26?id=2020709,,2015-09-05
Canada,1999,43.7,,,"hh, sqrt",market income,Statistics Canada,"Survey of Labour and Income Dynamics, Canada",,source2,http://www5.statcan.gc.ca/cansim/a26?id=2020709,,2015-09-05
Canada,2000,43.9,,,"hh, sqrt",market income,Statistics Canada,"Survey of Labour and Income Dynamics, Canada",,source2,http://www5.statcan.gc.ca/cansim/a26?id=2020709,,2015-09-05
Canada,2001,44,,,"hh, sqrt",market income,Statistics Canada,"Survey of Labour and Income Dynamics, Canada",,source2,http://www5.statcan.gc.ca/cansim/a26?id=2020709,,2015-09-05
Canada,2002,43.9,,,"hh, sqrt",market income,Statistics Canada,"Survey of Labour and Income Dynamics, Canada",,source2,http://www5.statcan.gc.ca/cansim/a26?id=2020709,,2015-09-05
Canada,2003,43.7,,,"hh, sqrt",market income,Statistics Canada,"Survey of Labour and Income Dynamics, Canada",,source2,http://www5.statcan.gc.ca/cansim/a26?id=2020709,,2015-09-05
Canada,2004,44.2,,,"hh, sqrt",market income,Statistics Canada,"Survey of Labour and Income Dynamics, Canada",,source2,http://www5.statcan.gc.ca/cansim/a26?id=2020709,,2015-09-05
Canada,2005,43.5,,,"hh, sqrt",market income,Statistics Canada,"Survey of Labour and Income Dynamics, Canada",,source2,http://www5.statcan.gc.ca/cansim/a26?id=2020709,,2015-09-05
Canada,2006,43.4,,,"hh, sqrt",market income,Statistics Canada,"Survey of Labour and Income Dynamics, Canada",,source2,http://www5.statcan.gc.ca/cansim/a26?id=2020709,,2015-09-05
Canada,2007,43.4,,,"hh, sqrt",market income,Statistics Canada,"Survey of Labour and Income Dynamics, Canada",,source2,http://www5.statcan.gc.ca/cansim/a26?id=2020709,,2015-09-05
Canada,2008,43.6,,,"hh, sqrt",market income,Statistics Canada,"Survey of Labour and Income Dynamics, Canada",,source2,http://www5.statcan.gc.ca/cansim/a26?id=2020709,,2015-09-05
Canada,2009,44.2,,,"hh, sqrt",market income,Statistics Canada,"Survey of Labour and Income Dynamics, Canada",,source2,http://www5.statcan.gc.ca/cansim/a26?id=2020709,,2015-09-05
Canada,2010,44.5,,,"hh, sqrt",market income,Statistics Canada,"Survey of Labour and Income Dynamics, Canada",,source2,http://www5.statcan.gc.ca/cansim/a26?id=2020709,,2015-09-05
Canada,2011,43.6,,,"hh, sqrt",market income,Statistics Canada,"Survey of Labour and Income Dynamics, Canada",,source2,http://www5.statcan.gc.ca/cansim/a26?id=2020709,,2015-09-05
Canada,1976,33,,,"hh, sqrt",gross income,Statistics Canada,"Survey of Labour and Income Dynamics, Canada",,source2,http://www5.statcan.gc.ca/cansim/a26?id=2020709,,2015-09-05
Canada,1977,31.5,,,"hh, sqrt",gross income,Statistics Canada,"Survey of Labour and Income Dynamics, Canada",,source2,http://www5.statcan.gc.ca/cansim/a26?id=2020709,,2015-09-05
Canada,1978,32,,,"hh, sqrt",gross income,Statistics Canada,"Survey of Labour and Income Dynamics, Canada",,source2,http://www5.statcan.gc.ca/cansim/a26?id=2020709,,2015-09-05
Canada,1979,31.5,,,"hh, sqrt",gross income,Statistics Canada,"Survey of Labour and Income Dynamics, Canada",,source2,http://www5.statcan.gc.ca/cansim/a26?id=2020709,,2015-09-05
Canada,1980,31.3,,,"hh, sqrt",gross income,Statistics Canada,"Survey of Labour and Income Dynamics, Canada",,source2,http://www5.statcan.gc.ca/cansim/a26?id=2020709,,2015-09-05
