country,year,gini,gini_se,welfare_def,equiv_scale,monetary,series,source1,page,link
Argentina,1980,0.41,,disp,hh,TRUE,CEPAL SDI Argentina disp hh EPH,CEPAL Serie Distribucion del Ingreso 10 (1993),,http://hdl.handle.net/11362/9403
Argentina,1980,0.37607992,0.00333408,disp,ae,TRUE,SEDLAC Argentina disp ae 1,SEDLAC,intervals ei,http://www.cedlas.econo.unlp.edu.ar/wp/wp-content/uploads/2018_inequality_LAC.xlsx
Argentina,1980,0.41977972,,disp,hh,TRUE,SEDLAC Argentina disp hh 1,SEDLAC,gini1,http://www.cedlas.econo.unlp.edu.ar/wp/wp-content/uploads/2018_inequality_LAC.xlsx
Argentina,1980,0.3930663,0.00350455,disp,pc,TRUE,SEDLAC Argentina disp pc 1,SEDLAC,intervals pci,http://www.cedlas.econo.unlp.edu.ar/wp/wp-content/uploads/2018_inequality_LAC.xlsx
Argentina,1981,0.43,,disp,hh,TRUE,CEPAL SDI Argentina disp hh EPH,CEPAL Serie Distribucion del Ingreso 5 (1987),,http://hdl.handle.net/11362/8978
Argentina,1986,0.43,,disp,hh,TRUE,CEPAL SDI Argentina disp hh EPH,CEPAL Serie Distribucion del Ingreso 10 (1993),,http://hdl.handle.net/11362/9403
Argentina,1986,0.40522522,0.00361664,disp,ae,TRUE,SEDLAC Argentina disp ae 1,SEDLAC,intervals ei,http://www.cedlas.econo.unlp.edu.ar/wp/wp-content/uploads/2018_inequality_LAC.xlsx
Argentina,1986,0.43497106,,disp,hh,TRUE,SEDLAC Argentina disp hh 1,SEDLAC,gini1,http://www.cedlas.econo.unlp.edu.ar/wp/wp-content/uploads/2018_inequality_LAC.xlsx
Argentina,1986,0.42171473,0.00371992,disp,pc,TRUE,SEDLAC Argentina disp pc 1,SEDLAC,intervals pci,http://www.cedlas.econo.unlp.edu.ar/wp/wp-content/uploads/2018_inequality_LAC.xlsx
Argentina,1987,0.43069926,0.00455424,disp,ae,TRUE,SEDLAC Argentina disp ae 1,SEDLAC,intervals ei,http://www.cedlas.econo.unlp.edu.ar/wp/wp-content/uploads/2018_inequality_LAC.xlsx
Argentina,1987,0.44480126,,disp,hh,TRUE,SEDLAC Argentina disp hh 1,SEDLAC,gini1,http://www.cedlas.econo.unlp.edu.ar/wp/wp-content/uploads/2018_inequality_LAC.xlsx
Argentina,1987,0.44817716,0.00490724,disp,pc,TRUE,SEDLAC Argentina disp pc 1,SEDLAC,intervals pci,http://www.cedlas.econo.unlp.edu.ar/wp/wp-content/uploads/2018_inequality_LAC.xlsx
Argentina,1988,0.4374938,0.00384941,disp,ae,TRUE,SEDLAC Argentina disp ae 1,SEDLAC,intervals ei,http://www.cedlas.econo.unlp.edu.ar/wp/wp-content/uploads/2018_inequality_LAC.xlsx
Argentina,1988,0.44453019,,disp,hh,TRUE,SEDLAC Argentina disp hh 1,SEDLAC,gini1,http://www.cedlas.econo.unlp.edu.ar/wp/wp-content/uploads/2018_inequality_LAC.xlsx
Argentina,1988,0.45518183,0.0039905,disp,pc,TRUE,SEDLAC Argentina disp pc 1,SEDLAC,intervals pci,http://www.cedlas.econo.unlp.edu.ar/wp/wp-content/uploads/2018_inequality_LAC.xlsx
Argentina,1989,0.5,,disp,hh,TRUE,CEPAL SDI Argentina disp hh EPH,CEPAL Serie Distribucion del Ingreso 10 (1993),,http://hdl.handle.net/11362/9403
Argentina,1990,0.501,,disp,pc,TRUE,CEPAL Argentina disp pc 1,CEPALStat,Urban,http://interwp.cepal.org/sisgen/ws/cepalstat/getDataMeta.asp?IdIndicator=250
Argentina,1990,0.43,,disp,hh,TRUE,CEPAL SDI Argentina disp hh EPH,CEPAL Serie Distribucion del Ingreso 10 (1993),,http://hdl.handle.net/11362/9403
Argentina,1991,0.44174617,0.00786719,disp,ae,TRUE,SEDLAC Argentina disp ae 1,SEDLAC,intervals ei,http://www.cedlas.econo.unlp.edu.ar/wp/wp-content/uploads/2018_inequality_LAC.xlsx
Argentina,1991,0.4571439,,disp,hh,TRUE,SEDLAC Argentina disp hh 1,SEDLAC,gini1,http://www.cedlas.econo.unlp.edu.ar/wp/wp-content/uploads/2018_inequality_LAC.xlsx
Argentina,1991,0.46518801,0.00850409,disp,pc,TRUE,SEDLAC Argentina disp pc 1,SEDLAC,intervals pci,http://www.cedlas.econo.unlp.edu.ar/wp/wp-content/uploads/2018_inequality_LAC.xlsx
Argentina,1992,0.482,,disp,pc,TRUE,CEPAL Argentina disp pc 2,CEPALStat,Urban,http://interwp.cepal.org/sisgen/ws/cepalstat/getDataMeta.asp?IdIndicator=250
Argentina,1992,0.42379837,0.00371463,disp,ae,TRUE,SEDLAC Argentina disp ae 1,SEDLAC,intervals ei,http://www.cedlas.econo.unlp.edu.ar/wp/wp-content/uploads/2018_inequality_LAC.xlsx
Argentina,1992,0.4294821,0.0031535,disp,ae,TRUE,SEDLAC Argentina disp ae 2,SEDLAC,intervals ei,http://www.cedlas.econo.unlp.edu.ar/wp/wp-content/uploads/2018_inequality_LAC.xlsx
Argentina,1992,0.44254972,,disp,hh,TRUE,SEDLAC Argentina disp hh 1,SEDLAC,gini1,http://www.cedlas.econo.unlp.edu.ar/wp/wp-content/uploads/2018_inequality_LAC.xlsx
Argentina,1992,0.44456186,,disp,hh,TRUE,SEDLAC Argentina disp hh 2,SEDLAC,gini1,http://www.cedlas.econo.unlp.edu.ar/wp/wp-content/uploads/2018_inequality_LAC.xlsx
Argentina,1992,0.44401759,0.00406897,disp,pc,TRUE,SEDLAC Argentina disp pc 1,SEDLAC,intervals pci,http://www.cedlas.econo.unlp.edu.ar/wp/wp-content/uploads/2018_inequality_LAC.xlsx
Argentina,1992,0.45016465,0.00319684,disp,pc,TRUE,SEDLAC Argentina disp pc 2,SEDLAC,intervals pci,http://www.cedlas.econo.unlp.edu.ar/wp/wp-content/uploads/2018_inequality_LAC.xlsx
Argentina,1993,0.42324534,0.00355227,disp,ae,TRUE,SEDLAC Argentina disp ae 2,SEDLAC,intervals ei,http://www.cedlas.econo.unlp.edu.ar/wp/wp-content/uploads/2018_inequality_LAC.xlsx
Argentina,1993,0.43510761,,disp,hh,TRUE,SEDLAC Argentina disp hh 2,SEDLAC,gini1,http://www.cedlas.econo.unlp.edu.ar/wp/wp-content/uploads/2018_inequality_LAC.xlsx
Argentina,1993,0.44398238,0.00348749,disp,pc,TRUE,SEDLAC Argentina disp pc 2,SEDLAC,intervals pci,http://www.cedlas.econo.unlp.edu.ar/wp/wp-content/uploads/2018_inequality_LAC.xlsx
Argentina,1994,0.515,,disp,pc,TRUE,CEPAL Argentina disp pc 3,CEPALStat,Urban,http://interwp.cepal.org/sisgen/ws/cepalstat/getDataMeta.asp?IdIndicator=250
Argentina,1994,0.4309678,0.0033871,disp,ae,TRUE,SEDLAC Argentina disp ae 2,SEDLAC,intervals ei,http://www.cedlas.econo.unlp.edu.ar/wp/wp-content/uploads/2018_inequality_LAC.xlsx
Argentina,1994,0.43769664,,disp,hh,TRUE,SEDLAC Argentina disp hh 2,SEDLAC,gini1,http://www.cedlas.econo.unlp.edu.ar/wp/wp-content/uploads/2018_inequality_LAC.xlsx
Argentina,1994,0.45286506,0.00387534,disp,pc,TRUE,SEDLAC Argentina disp pc 2,SEDLAC,intervals pci,http://www.cedlas.econo.unlp.edu.ar/wp/wp-content/uploads/2018_inequality_LAC.xlsx
Argentina,1995,0.45968857,0.00355725,disp,ae,TRUE,SEDLAC Argentina disp ae 2,SEDLAC,intervals ei,http://www.cedlas.econo.unlp.edu.ar/wp/wp-content/uploads/2018_inequality_LAC.xlsx
Argentina,1995,0.45842747,,disp,hh,TRUE,SEDLAC Argentina disp hh 2,SEDLAC,gini1,http://www.cedlas.econo.unlp.edu.ar/wp/wp-content/uploads/2018_inequality_LAC.xlsx
Argentina,1995,0.48123903,0.00371974,disp,pc,TRUE,SEDLAC Argentina disp pc 2,SEDLAC,intervals pci,http://www.cedlas.econo.unlp.edu.ar/wp/wp-content/uploads/2018_inequality_LAC.xlsx
Argentina,1996,0.46260949,0.0036572,disp,ae,TRUE,SEDLAC Argentina disp ae 2,SEDLAC,intervals ei,http://www.cedlas.econo.unlp.edu.ar/wp/wp-content/uploads/2018_inequality_LAC.xlsx
Argentina,1996,0.45704964,,disp,hh,TRUE,SEDLAC Argentina disp hh 2,SEDLAC,gini1,http://www.cedlas.econo.unlp.edu.ar/wp/wp-content/uploads/2018_inequality_LAC.xlsx
Argentina,1996,0.48555801,0.00400662,disp,pc,TRUE,SEDLAC Argentina disp pc 2,SEDLAC,intervals pci,http://www.cedlas.econo.unlp.edu.ar/wp/wp-content/uploads/2018_inequality_LAC.xlsx
Argentina,1997,0.53,,disp,pc,TRUE,CEPAL Argentina disp pc 4,CEPALStat,Urban,http://interwp.cepal.org/sisgen/ws/cepalstat/getDataMeta.asp?IdIndicator=250
Argentina,1997,0.46073364,0.00289051,disp,ae,TRUE,SEDLAC Argentina disp ae 2,SEDLAC,intervals ei,http://www.cedlas.econo.unlp.edu.ar/wp/wp-content/uploads/2018_inequality_LAC.xlsx
Argentina,1997,0.45806932,,disp,hh,TRUE,SEDLAC Argentina disp hh 2,SEDLAC,gini1,http://www.cedlas.econo.unlp.edu.ar/wp/wp-content/uploads/2018_inequality_LAC.xlsx
Argentina,1997,0.48345391,0.00276109,disp,pc,TRUE,SEDLAC Argentina disp pc 2,SEDLAC,intervals pci,http://www.cedlas.econo.unlp.edu.ar/wp/wp-content/uploads/2018_inequality_LAC.xlsx
Argentina,1998,0.47963276,0.0039185,disp,ae,TRUE,SEDLAC Argentina disp ae 2,SEDLAC,intervals ei,http://www.cedlas.econo.unlp.edu.ar/wp/wp-content/uploads/2018_inequality_LAC.xlsx
Argentina,1998,0.47831791,0.00290325,disp,ae,TRUE,SEDLAC Argentina disp ae 3,SEDLAC,intervals ei,http://www.cedlas.econo.unlp.edu.ar/wp/wp-content/uploads/2018_inequality_LAC.xlsx
Argentina,1998,0.47127657,,disp,hh,TRUE,SEDLAC Argentina disp hh 2,SEDLAC,gini1,http://www.cedlas.econo.unlp.edu.ar/wp/wp-content/uploads/2018_inequality_LAC.xlsx
Argentina,1998,0.46973487,,disp,hh,TRUE,SEDLAC Argentina disp hh 3,SEDLAC,gini1,http://www.cedlas.econo.unlp.edu.ar/wp/wp-content/uploads/2018_inequality_LAC.xlsx
Argentina,1998,0.50215996,0.00395212,disp,pc,TRUE,SEDLAC Argentina disp pc 2,SEDLAC,intervals pci,http://www.cedlas.econo.unlp.edu.ar/wp/wp-content/uploads/2018_inequality_LAC.xlsx
Argentina,1998,0.50147055,0.00311985,disp,pc,TRUE,SEDLAC Argentina disp pc 3,SEDLAC,intervals pci,http://www.cedlas.econo.unlp.edu.ar/wp/wp-content/uploads/2018_inequality_LAC.xlsx
Argentina,1999,0.539,,disp,pc,TRUE,CEPAL Argentina disp pc 5,CEPALStat,Urban,http://interwp.cepal.org/sisgen/ws/cepalstat/getDataMeta.asp?IdIndicator=250
Argentina,1999,0.46810853,0.00230072,disp,ae,TRUE,SEDLAC Argentina disp ae 3,SEDLAC,intervals ei,http://www.cedlas.econo.unlp.edu.ar/wp/wp-content/uploads/2018_inequality_LAC.xlsx
Argentina,1999,0.45871632,,disp,hh,TRUE,SEDLAC Argentina disp hh 3,SEDLAC,gini1,http://www.cedlas.econo.unlp.edu.ar/wp/wp-content/uploads/2018_inequality_LAC.xlsx
Argentina,1999,0.49073175,0.0028436,disp,pc,TRUE,SEDLAC Argentina disp pc 3,SEDLAC,intervals pci,http://www.cedlas.econo.unlp.edu.ar/wp/wp-content/uploads/2018_inequality_LAC.xlsx
Argentina,2000,0.544,,disp,pc,TRUE,CEPAL Argentina disp pc 6,CEPALStat,Urban,http://interwp.cepal.org/sisgen/ws/cepalstat/getDataMeta.asp?IdIndicator=250
Argentina,2000,0.48244085,0.0026532,disp,ae,TRUE,SEDLAC Argentina disp ae 3,SEDLAC,intervals ei,http://www.cedlas.econo.unlp.edu.ar/wp/wp-content/uploads/2018_inequality_LAC.xlsx
Argentina,2000,0.46664626,,disp,hh,TRUE,SEDLAC Argentina disp hh 3,SEDLAC,gini1,http://www.cedlas.econo.unlp.edu.ar/wp/wp-content/uploads/2018_inequality_LAC.xlsx
Argentina,2000,0.50394908,0.00222551,disp,pc,TRUE,SEDLAC Argentina disp pc 3,SEDLAC,intervals pci,http://www.cedlas.econo.unlp.edu.ar/wp/wp-content/uploads/2018_inequality_LAC.xlsx
Argentina,2001,0.56,,disp,pc,TRUE,CEPAL Argentina disp pc 6,CEPALStat,Urban,http://interwp.cepal.org/sisgen/ws/cepalstat/getDataMeta.asp?IdIndicator=250
Argentina,2001,0.50132058,0.00264949,disp,ae,TRUE,SEDLAC Argentina disp ae 3,SEDLAC,intervals ei,http://www.cedlas.econo.unlp.edu.ar/wp/wp-content/uploads/2018_inequality_LAC.xlsx
Argentina,2001,0.47968254,,disp,hh,TRUE,SEDLAC Argentina disp hh 3,SEDLAC,gini1,http://www.cedlas.econo.unlp.edu.ar/wp/wp-content/uploads/2018_inequality_LAC.xlsx
Argentina,2001,0.52210494,0.0026321,disp,pc,TRUE,SEDLAC Argentina disp pc 3,SEDLAC,intervals pci,http://www.cedlas.econo.unlp.edu.ar/wp/wp-content/uploads/2018_inequality_LAC.xlsx
Argentina,2002,0.578,,disp,pc,TRUE,CEPAL Argentina disp pc 7,CEPALStat,Urban,http://interwp.cepal.org/sisgen/ws/cepalstat/getDataMeta.asp?IdIndicator=250
Argentina,2002,0.51236613,0.0035465,disp,ae,TRUE,SEDLAC Argentina disp ae 3,SEDLAC,intervals ei,http://www.cedlas.econo.unlp.edu.ar/wp/wp-content/uploads/2018_inequality_LAC.xlsx
Argentina,2002,0.48851079,,disp,hh,TRUE,SEDLAC Argentina disp hh 3,SEDLAC,gini1,http://www.cedlas.econo.unlp.edu.ar/wp/wp-content/uploads/2018_inequality_LAC.xlsx
Argentina,2002,0.53273861,0.00414304,disp,pc,TRUE,SEDLAC Argentina disp pc 3,SEDLAC,intervals pci,http://www.cedlas.econo.unlp.edu.ar/wp/wp-content/uploads/2018_inequality_LAC.xlsx
Argentina,2003,0.52,,disp,pc,FALSE,CEQ Argentina disp pc,Lustig and Pessino 2014,,http://dx.doi.org/10.1177/1091142113505193
Argentina,2003,0.50575702,0.00399167,disp,ae,TRUE,SEDLAC Argentina disp ae 3,SEDLAC,intervals ei,http://www.cedlas.econo.unlp.edu.ar/wp/wp-content/uploads/2018_inequality_LAC.xlsx
Argentina,2003,0.48050895,,disp,hh,TRUE,SEDLAC Argentina disp hh 3,SEDLAC,gini1,http://www.cedlas.econo.unlp.edu.ar/wp/wp-content/uploads/2018_inequality_LAC.xlsx
Argentina,2003,0.5278957,0.00405079,disp,pc,TRUE,SEDLAC Argentina disp pc 3,SEDLAC,intervals pci,http://www.cedlas.econo.unlp.edu.ar/wp/wp-content/uploads/2018_inequality_LAC.xlsx
Argentina,2004,0.578,,disp,pc,TRUE,CEPAL Argentina disp pc 5,CEPALStat,Urban,http://interwp.cepal.org/sisgen/ws/cepalstat/getDataMeta.asp?IdIndicator=250
Argentina,2004,0.46971302,0.0042004,disp,ae,TRUE,SEDLAC Argentina disp ae 4,SEDLAC,intervals ei,http://www.cedlas.econo.unlp.edu.ar/wp/wp-content/uploads/2018_inequality_LAC.xlsx
Argentina,2004,0.43874226,,disp,hh,TRUE,SEDLAC Argentina disp hh 4,SEDLAC,gini1,http://www.cedlas.econo.unlp.edu.ar/wp/wp-content/uploads/2018_inequality_LAC.xlsx
Argentina,2004,0.49281638,0.00444312,disp,pc,TRUE,SEDLAC Argentina disp pc 4,SEDLAC,intervals pci,http://www.cedlas.econo.unlp.edu.ar/wp/wp-content/uploads/2018_inequality_LAC.xlsx
Argentina,2005,0.558,,disp,pc,TRUE,CEPAL Argentina disp pc 5,CEPALStat,Urban,http://interwp.cepal.org/sisgen/ws/cepalstat/getDataMeta.asp?IdIndicator=250
Argentina,2005,0.45076011,0.00182722,disp,ae,TRUE,SEDLAC Argentina disp ae 4,SEDLAC,intervals ei,http://www.cedlas.econo.unlp.edu.ar/wp/wp-content/uploads/2018_inequality_LAC.xlsx
Argentina,2005,0.41758881,,disp,hh,TRUE,SEDLAC Argentina disp hh 4,SEDLAC,gini1,http://www.cedlas.econo.unlp.edu.ar/wp/wp-content/uploads/2018_inequality_LAC.xlsx
Argentina,2005,0.47496192,0.00185353,disp,pc,TRUE,SEDLAC Argentina disp pc 4,SEDLAC,intervals pci,http://www.cedlas.econo.unlp.edu.ar/wp/wp-content/uploads/2018_inequality_LAC.xlsx
Argentina,2006,0.549,,disp,pc,TRUE,CEPAL Argentina disp pc 8,CEPALStat,Urban,http://interwp.cepal.org/sisgen/ws/cepalstat/getDataMeta.asp?IdIndicator=250
Argentina,2006,0.48700000000000004,,disp,pc,FALSE,CEQ Argentina disp pc,Lustig and Pessino 2014,,http://dx.doi.org/10.1177/1091142113505193
Argentina,2006,0.44352194,0.00174193,disp,ae,TRUE,SEDLAC Argentina disp ae 4,SEDLAC,intervals ei,http://www.cedlas.econo.unlp.edu.ar/wp/wp-content/uploads/2018_inequality_LAC.xlsx
Argentina,2006,0.41699355,,disp,hh,TRUE,SEDLAC Argentina disp hh 4,SEDLAC,gini1,http://www.cedlas.econo.unlp.edu.ar/wp/wp-content/uploads/2018_inequality_LAC.xlsx
Argentina,2006,0.46715176,0.00186919,disp,pc,TRUE,SEDLAC Argentina disp pc 4,SEDLAC,intervals pci,http://www.cedlas.econo.unlp.edu.ar/wp/wp-content/uploads/2018_inequality_LAC.xlsx
Argentina,2007,0.43014166,0.00175435,disp,ae,TRUE,SEDLAC Argentina disp ae 4,SEDLAC,intervals ei,http://www.cedlas.econo.unlp.edu.ar/wp/wp-content/uploads/2018_inequality_LAC.xlsx
Argentina,2007,0.40431957,,disp,hh,TRUE,SEDLAC Argentina disp hh 4,SEDLAC,gini1,http://www.cedlas.econo.unlp.edu.ar/wp/wp-content/uploads/2018_inequality_LAC.xlsx
Argentina,2007,0.45414909999999997,0.00201205,disp,pc,TRUE,SEDLAC Argentina disp pc 4,SEDLAC,intervals pci,http://www.cedlas.econo.unlp.edu.ar/wp/wp-content/uploads/2018_inequality_LAC.xlsx
